job_name,company_add,month,salary_min,salary_max,record,company_name,company_type,scope,tag,welfare
软件架构师,成都,4,16000,22000,本科,集创科技,计算机软件,100-499人,Python，PHP，分布式技术，微服务架构，数据结构，负载均衡技术，容器技术，Spring,带薪年假，节日福利，补充医疗保险，餐补，零食下午茶，通讯补贴，员工旅游，年终奖，五险一金
高级软件开发工程师,北京,12,15000,25000,本科,福奈特洗衣,生活服务,500-999人,Java，SQL，C#，微服务架构，Spring，Redis，后端开发，分布式技术,带薪年假，定期体检，五险一金，餐补，通讯补贴，交通补助
Java,南宁,9,15000,25000,本科,中软国际,计算机软件,10000人以上,Java，Spring，Oracle，计算机软件，JavaScript,员工旅游，节日福利，带薪年假，免费班车，零食下午茶，加班补助，餐补，五险一金，定期体检，年终奖
Java 开发工程师,沈阳,4,8000,12000,本科,国源科技,计算机软件,1000-9999人,Java，HTML，CSS,年终奖，节日福利，加班补助，餐补，五险一金
JAVA架构师,武汉,4,20000,40000,本科,恒安嘉新,互联网,1000-9999人,SQL，Spring，Hadoop，分布式技术,节日福利，年终奖，股票期权，带薪年假，员工旅游，五险一金，定期体检
JAVA开发,杭州,4,15000,25000,大专,博彦科技,计算机软件,1000-9999人,Java，SQL，API，MAVEN，GIT，LINUX，分布式技术,定期体检，免费班车，节日福利，带薪年假，五险一金，年终奖
Java开发工程师,深圳,5,11000,16000,本科,长亮科技,计算机软件,1000-9999人,Java，SSM，微服务架构，分布式技术，MySQL，Oracle，后端开发，Linux,年终奖，节日福利，员工旅游，带薪年假，定期体检，补充医疗保险，五险一金，通讯补贴，零食下午茶
Java架构师,深圳,4,35000,55000,本科,开思时代,移动互联网,1000-9999人,Java，Dubbo，SpringCloud,年终奖，定期体检，节日福利，员工旅游，股票期权，零食下午茶，弹性工作，带薪年假，五险一金，补充医疗保险
java开发,深圳,4,14000,18000,本科,申朴信息,互联网金融,10000人以上,java,年终奖，五险一金，加班补助，节日福利，员工旅游，带薪年假，免费班车
对日开发工程师,合肥,4,7000,12000,本科,科大国创软件,计算机软件,1000-9999人,日语，Java，Spring，MySQL，Redis，NoSQL，N2，N3,餐补，免费班车，加班补助，带薪年假，五险一金，节日福利，定期体检，年终奖
高级研发工程师,上海,9,18000,30000,本科,药研社,医疗健康,500-999人,Java，多线程，消息队列，Spring，Redis，后端开发,年终奖，带薪年假，节日福利，五险一金，零食下午茶，加班补助，补充医疗保险，员工旅游，定期体检
中级JAVA开发工程师,武汉,11,7000,11000,本科,石基大商,计算机软件,500-999人,Java，SQL,定期体检，带薪年假，通讯补贴，节日福利，年终奖，五险一金
骨干Java开发人员,济南,4,10000,15000,本科,浪潮,互联网,10000人以上,Java，SQL,带薪年假，股票期权，五险一金，员工旅游，定期体检，节日福利，零食下午茶，通讯补贴，加班补助，年终奖，交通补助，补充医疗保险
城市运营经理,贵阳,4,13000,21000,本科,同程艺龙,互联网,1000-9999人,市场数据分析，用户增长，异业合作,带薪年假，通讯补贴，补充医疗保险，年终奖，定期体检，五险一金，节日福利，加班补助
